SEQ='SI'     NUCCHG=14                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  63496278.1   NPRNTI= 5   NPRNTF= 5
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          3S2 3P1             (2)1( 2.5)        0.0 
     2          3S1 3P2             (4)1( 5.5)    39975.6 
     3          3S1 3P2             (2)2( 4.5)    55707.8 
     4          3S1 3P2             (2)0( 0.5)    73644.4 
     5          3S1 3P2             (2)1( 2.5)    80374.1 

   LS RESOLVED TERM INDEXING            BWNR=  63582352.7   NTRM= 821
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR       AUGER RATES:  INDP-INDP', INDP'=1,...INDP-1
   ----  ----   ----                 - -   --  ----------      -----------
   273     2    3S1 3P2 7D1         (3)3(10.0)   123356.2*     4.71E+11
   274     2    3S1 3P2 7D1         (5)3(17.0)   123399.3*     0.00E+00
   275     2    3S1 3P2 8P1         (3)0( 1.0)   123451.3*     0.00E+00
   276     2    3S1 3P2 8P1         (5)2(12.0)   123463.5*     0.00E+00
   277     2    3S1 3P2 7D1         (5)2(12.0)   123467.4*     0.00E+00
   278     2    3S1 3P2 8P1         (5)0( 2.0)   123500.8*     0.00E+00
   279     2    3S1 3P2 8P1         (5)1( 7.0)   123512.4*     0.00E+00
   280     2    3S1 3P2 8P1         (3)2( 7.0)   123600.8*     1.13E+13
   281     2    3S1 3P2 8P1         (3)1( 4.0)   123677.8*     6.38E+12
   282     2    3S1 3P2 7F1         (5)2(12.0)   123779.0*     0.00E+00
   283     2    3S1 3P2 7F1         (3)2( 7.0)   123781.1*     1.66E+11
   284     2    3S1 3P2 7F1         (5)4(22.0)   123790.2*     0.00E+00
   285     2    3S1 3P2 7F1         (3)4(13.0)   123796.1*     3.01E+09
   286     2    3S1 3P2 7G1         (5)3(17.0)   123800.3*     0.00E+00
   287     2    3S1 3P2 7G1         (3)3(10.0)   123800.3*     9.46E+07
   288     2    3S1 3P2 7G1         (5)5(27.0)   123805.2*     0.00E+00
   289     2    3S1 3P2 7G1         (3)5(16.0)   123805.4*     1.29E+07
   290     2    3S1 3P2 7H1         (5)4(22.0)   123805.4*     0.00E+00
   291     2    3S1 3P2 7H1         (3)4(13.0)   123805.4*     9.70E+04
   292     2    3S1 3P2 7H1         (5)6(32.0)   123807.6*     0.00E+00
   293     2    3S1 3P2 7H1         (3)6(19.0)   123807.6*     9.29E+03
   294     2    3S1 3P2 7I1         (5)5(27.0)   123807.6*     0.00E+00
   295     2    3S1 3P2 7I1         (3)5(16.0)   123807.6*     5.70E+01
   296     2    3S1 3P2 7I1         (5)7(37.0)   123808.7*     0.00E+00
   297     2    3S1 3P2 7I1         (3)7(22.0)   123808.7*     0.00E+00
   298     2    3S1 3P2 7I1         (5)6(32.0)   123815.4*     0.00E+00
   299     2    3S1 3P2 7I1         (3)6(19.0)   123815.4*     1.65E+02
   300     2    3S1 3P2 7H1         (5)5(27.0)   123818.5*     0.00E+00
   301     2    3S1 3P2 7H1         (3)5(16.0)   123818.5*     3.62E+05
   302     2    3S1 3P2 7G1         (5)4(22.0)   123824.9*     0.00E+00
   303     2    3S1 3P2 7G1         (3)4(13.0)   123825.1*     6.90E+08
   304     2    3S1 3P2 7F1         (5)3(17.0)   123832.6*     0.00E+00
   305     2    3S1 3P2 7F1         (3)3(10.0)   123841.5*     3.64E+10
   306     2    3S1 3P2 8D1         (3)2( 7.0)   123915.5*     3.76E+11
   307     2    3S1 3P2 8D1         (3)1( 4.0)   123916.6*     1.22E+11
   308     2    3S1 3P2 8D1         (3)3(10.0)   124023.6*     2.28E+11
   309     3    3S1 3P2 4P1         (3)2( 7.0)   124043.4*     2.79E+13  0.00E+00
   310     2    3S1 3P2 8D1         (5)3(17.0)   124065.1*     0.00E+00
